Blog	business	friends	photo	small	companies	online	makes	another	support	talking	whether	should	back	ways	high	he	thing	getting	off	into	opportunity	his	tips	making	use	keep	better	asked	me	interview	questions	state	well	d	amp	media	started	video	using	top	following	com	b	reasons	web	money	website	thanks	our	site	there	great	here	least	which	being	re	because	others	few	ask	question	recently	ve	stuff	soon	youtube	c	hope	things	us	any	love	please	don	where	conversation	story	day	something	why	director	called	other	week	her	name	team	months	ago	really	thought	kind	never	answer	myself	let	see	favorite	she	nothing	much	come	happened	almost	every	got	office	took	wanted	even	once	month	everyone	had	take	place	no	who	knew	would	wrote	email	while	think	going	means	learn	just	work	real	time	around	made	easy	head	need	point	do	away	bit	press	make	sure	also	want	give	fun	during	takes	long	co	might	year	find	way	together	lot	events	happy	hour	same	talk	only	know	company	else	did	look	own	may	working	hard	personal	fact	try	important	isn	big	true	enough	close	article	write	along	feel	free	share	too	always	say	itself	america	wasn	third	family	used	its	today	idea	seems	than	ever	episode	different	ones	released	instead	president	tell	e	taking	three	face	next	found	old	best	m	very	good	successful	shows	running	far	each	create	many	days	sometimes	less	course	writing	already	under	games	movie	short	show	done	yet	spent	four	start	second	could	these	probably	were	stop	world	design	through	life	phone	camera	finally	looks	ll	videos	friend	then	didn	does	quickly	doing	latest	run	product	learning	system	track	feature	iphone	available	app	store	clear	especially	before	notes	left	add	tools	line	save	them	apple	features	photos	example	special	links	project	via	behind	won	coming	version	interesting	seeing	search	since	told	update	go	page	right	results	looking	information	security	someone	report	morning	am	down	until	ideas	twitter	mobile	check	word	simple	th	software	still	help	minutes	facebook	both	users	read	recent	experience	change	forward	past	years	such	those	account	actually	turn	party	blog	community	become	trying	matter	live	little	harassment	hours	building	social	open	two	part	hands	between	internet	build	chris	cover	reading	include	post	book	seem	deal	rules	times	comes	thinking	level	doesn	must	cost	often	perhaps	case	art	including	sexual	last	mean	saying	center	understand	david	problem	full	group	side	call	bad	room	likely	number	without	anyone	worth	needs	friday	though	mueller	according	said	city	end	five	went	white	house	early	him	news	election	continue	night	u	government	john	pretty	put	maybe	later	self	quite	car	bill	o	women	mark	game	trump	view	mdash	october	wrong	campaign	set	amazon	appeared	future	original	google	data	cool	content	technology	large	public	again	ad	guy	man	list	service	san	nbsp	words	sound	tech	says	based	x	home	screen	device	smart	hand	hit	play	within	against	everything	research	per	seen	former	series	american	russia	intelligence	development	key	york	music	created	order	computer	stranger	k	tv	million	cars	came	watch	network	stories	half	halloween	power	remember	donald	buy	price	known
Celebslam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Official Google Blog	15	0	1	1	2	10	4	2	7	1	4	1	9	3	4	2	1	1	1	14	3	1	0	3	10	2	11	0	6	0	1	4	3	3	1	0	6	3	27	7	0	2	0	0	5	2	3	1	53	1	5	2	10	0	17	1	33	7	2	8	2	0	0	12	0	4	5	0	2	10	15	8	2	0	8	7	0	2	6	4	4	1	2	14	9	0	1	6	1	1	1	1	0	2	0	0	7	12	6	0	0	4	0	0	0	6	0	2	0	5	4	5	2	3	5	7	3	9	10	1	3	1	5	7	5	0	1	12	11	17	1	27	6	5	9	2	6	1	17	2	0	1	17	4	20	4	5	5	2	5	0	0	1	12	7	12	14	1	4	0	0	3	6	2	4	7	0	2	8	6	3	5	2	0	19	4	5	1	4	2	3	1	2	2	1	0	2	4	2	2	6	1	1	2	0	9	7	4	16	1	0	17	2	0	1	1	3	3	1	2	1	1	9	2	5	3	6	3	0	1	1	1	3	3	0	7	9	13	2	0	2	2	0	5	4	2	0	1	5	2	3	3	2	8	2	6	13	1	11	0	16	1	14	0	2	0	2	1	13	0	0	9	0	0	9	0	0	3	1	10	4	5	1	0	13	14	0	1	2	1	2	0	21	18	0	2	15	1	4	3	4	3	0	12	4	1	5	5	1	0	3	15	5	4	3	8	4	9	9	4	9	7	0	0	0	1	3	0	1	0	2	12	0	3	0	9	2	28	3	0	5	1	3	2	8	3	1	1	1	1	4	11	1	6	0	1	4	4	1	2	2	0	0	3	2	1	7	4	7	2	1	1	7	0	0	0	4	3	2	0	0	0	4	4	0	1	0	0	4	2	0	3	2	9	0	3	0	2	3	3	1	0	4	2	0	2	0	8	1	7	10	0	0	7	1	0	0	1	0	0	0	5	2	1	1	2	0	8	0	3	1	10	1	1	0	1	3	0	0	0	0	1	0	0	0	9	0	7	0	0	0	0	3	0	0	0	1	116	10	2	4	23	2	2	2	0	0	0	3	17	2	0	1	3	8	8	8	1	18	2	7	1	7	1	17	3	0	1	1	5	1	1	11	0	0	0	4	1	3	3	4	1	6	6	4	4	4	2	1	1	6	2	1	1	1	0	0	0	0	0
Google Operating System	0	0	2	0	0	0	2	4	2	0	2	1	4	1	4	0	0	0	2	3	0	0	0	0	7	1	1	0	1	0	1	0	2	1	0	0	2	3	5	1	0	2	4	3	3	0	0	0	2	4	7	1	7	0	12	0	3	2	1	1	1	3	2	5	0	1	13	1	1	1	0	3	0	0	3	1	0	0	3	2	1	0	4	9	0	0	2	1	0	0	1	0	0	2	1	0	1	4	2	0	0	2	0	0	0	1	0	0	0	0	4	0	1	2	2	1	3	6	1	0	0	0	1	5	0	1	1	0	4	0	1	1	2	0	1	1	2	3	1	0	0	1	2	1	9	3	0	0	0	0	5	0	0	2	1	1	0	1	1	0	0	3	0	10	4	0	0	3	3	2	1	0	0	0	1	3	2	0	0	0	0	0	0	0	0	1	1	3	0	1	0	0	0	0	0	0	0	3	1	0	1	5	0	0	9	0	0	0	0	0	0	1	0	0	5	4	4	1	3	2	0	0	18	1	0	4	0	4	0	0	0	0	0	1	0	1	2	0	2	0	0	0	0	1	0	0	3	1	0	1	2	1	0	2	0	2	0	3	7	5	0	3	0	0	1	0	2	0	2	2	5	0	11	0	3	9	3	2	0	0	0	2	7	5	1	0	3	0	4	6	7	3	1	0	2	0	1	0	3	3	0	53	2	0	0	7	10	1	9	0	1	2	0	0	0	0	5	0	0	0	9	1	1	0	1	0	5	1	0	0	2	3	1	1	0	3	1	0	0	1	3	4	1	5	0	2	1	2	0	0	2	1	0	0	0	0	4	0	0	1	4	1	0	0	0	0	1	1	0	2	0	0	0	1	0	1	2	1	0	1	0	0	0	4	0	1	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	3	1	0	1	0	2	0	0	1	0	0	0	0	1	0	1	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	1	0	2	0	1	0	0	0	0	1	0	0	0	1	108	1	1	2	1	0	1	2	2	0	2	7	0	0	11	0	2	0	0	1	1	6	4	0	3	0	0	4	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	3	0	0	0	1	0	0	0	0	0
Creating Passionate Users	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	2	1	1	1	1	0	1	0	0	1	0	0	1	3	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	2	0	1	2	1	0	3	0	0	0	0	0	0	2	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	1	0	0	2	0	0	5	0	0	1	1	0	0	3	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	1	0	0	0	0	0	0	0	0	1	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Instapundit	0	0	0	0	0	0	1	4	2	0	0	0	3	0	2	5	0	2	1	4	0	6	0	0	0	1	0	0	2	1	3	0	0	4	0	2	0	0	0	0	0	2	1	2	0	2	0	0	1	2	1	1	1	0	0	2	2	2	1	0	0	0	0	0	0	0	0	2	0	2	4	1	0	0	4	0	0	2	2	0	3	0	1	10	1	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	6	1	1	0	3	0	0	0	0	2	2	0	0	3	3	3	8	6	0	0	0	0	2	4	0	0	0	4	0	0	3	0	0	0	0	4	0	7	0	0	0	2	0	0	3	2	0	1	0	1	0	3	1	2	0	0	0	0	0	0	0	0	0	4	0	0	2	0	3	8	1	0	0	0	0	4	1	2	0	0	0	1	0	0	0	3	0	4	4	1	0	2	0	0	0	1	4	3	0	0	5	2	0	0	1	0	1	2	1	0	0	2	0	2	0	2	0	1	1	3	0	2	0	0	2	0	4	0	0	0	1	0	2	0	0	1	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	4	4	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	2	2	2	1	5	3	2	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	2	0	1	0	0	0	2	0	0	0	0	0	0	4	0	0	0	1	2	0	0	0	0	1	2	0	3	0	2	0	0	0	0	0	0	0	0	1	3	5	0	0	0	0	0	0	0	2	2	0	1	0	0	2	1	6	0	0	0	0	2	0	2	0	0	3	0	0	3	0	0	0	0	0	0	2	2	1	1	0	0	0	0	2	0	0	1	1	0	0	2	4	1	0	0	0	0	0	0	2	3	3	5	0	0	11	0	0	0	2	3	1	12	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	4	0	0	0	1	1	0	3	0	2	0	1	2	0	6	3	0	0	0	1	0	0	2	0	0	2	0	4	0	0	0	0	0	0	2	0	1	2	1	2	0
Jeremy Zawodny's blog	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	2	0	1	0	0	0	0	0	1	1	0	1	0	0	3	4	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	1	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	1	0	0	1	0	0	2	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	2	0	0	1	0	0	4	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	10	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Joi Ito's Web	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	2	0	5	0	1	0	0	0	0	0	0	0	0	0	2	2	0	1	2	0	0	0	1	0	1	0	1	0	3	3	0	1	0	0	0	0	1	2	0	0	0	0	0	17	0	3	0	0	5	1	2	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	4	0	0	0	0	0	1	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	3	0	0	0	1	0	0	0	1	0	0	4	0	2	0	0	0	0	0	0	1	0	3	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	3	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	4	2	0	1	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	4	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Mashable	2	1	1	0	1	1	0	2	0	0	0	1	4	0	2	5	0	1	6	5	1	6	0	0	0	2	5	1	0	0	0	2	2	11	2	3	1	16	0	1	1	11	3	0	2	2	0	0	1	0	0	1	6	2	4	1	3	4	0	5	0	0	2	2	0	1	0	11	0	16	0	3	1	3	1	4	0	0	2	4	3	0	0	4	3	7	2	0	2	1	3	0	0	1	0	0	2	17	2	7	0	5	2	0	4	4	2	3	1	1	5	3	0	0	5	2	2	0	6	1	2	0	0	4	0	2	0	2	9	5	12	17	1	2	0	1	0	1	3	1	0	2	5	1	18	4	1	2	0	0	5	1	3	5	0	2	5	1	0	1	0	3	1	2	4	9	0	0	1	1	2	3	2	3	1	0	0	2	2	1	0	0	0	0	1	0	0	0	2	0	1	1	0	1	0	0	2	9	2	1	0	3	1	2	2	1	2	0	3	0	14	2	2	0	2	0	5	3	2	4	4	0	2	1	1	2	2	2	2	2	0	1	0	1	1	2	3	4	3	0	0	2	0	1	0	4	3	2	6	0	5	1	1	1	0	2	0	2	0	2	1	2	2	1	1	2	0	1	1	0	2	0	0	7	2	0	2	0	1	1	0	1	0	0	1	0	1	4	0	0	1	0	0	3	1	0	0	3	1	0	0	0	4	3	0	1	0	2	0	0	0	1	2	1	1	0	4	0	1	10	0	2	1	0	1	2	2	1	0	9	2	1	30	0	2	3	2	3	6	0	2	0	0	3	2	0	0	1	0	0	0	3	3	0	3	2	0	2	1	1	1	3	1	0	1	0	2	5	2	1	0	2	1	1	0	0	4	0	1	0	1	1	0	4	2	2	1	0	0	0	0	2	4	1	0	0	4	0	0	1	0	1	1	0	8	2	0	4	0	2	2	0	5	7	7	0	2	6	2	0	1	5	1	2	3	0	1	0	3	0	1	7	9	0	1	11	10	1	0	2	0	1	5	4	0	4	2	0	0	0	2	3	0	3	1	1	0	0	0	0	0	0	2	0	11	1	2	7	0	1	2	2	0	1	3	0	1	2	2	1	1	2	3	0	2	2	1	2	2	0	2	1	2	12	1	2	8	2	2	2	1	0	0	10	1	0	3	2	3	5
MichelleMalkin.com	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0
The Viral Garden	12	12	0	5	30	8	4	9	2	4	1	16	20	6	1	17	17	6	5	9	0	8	2	4	20	3	10	1	57	0	5	1	12	5	3	123	14	0	30	4	23	22	2	3	1	3	3	2	7	12	37	13	25	5	19	21	4	38	9	26	3	0	6	20	3	3	0	0	2	6	16	8	2	3	15	18	4	2	17	9	21	0	5	19	5	5	10	5	7	5	10	11	0	10	3	5	8	22	2	2	2	6	8	4	2	10	10	0	10	12	19	3	1	10	40	7	3	19	16	8	31	7	3	8	32	10	5	8	21	17	3	26	7	8	2	1	8	6	40	3	8	0	20	11	10	34	6	2	5	1	8	0	5	19	9	27	5	14	12	1	4	16	1	16	22	13	8	13	2	24	12	1	0	6	5	4	4	6	12	1	5	6	2	9	4	2	6	8	6	6	6	7	2	8	1	0	1	11	4	18	3	10	3	0	3	4	1	5	0	11	0	4	3	0	9	10	2	7	18	23	17	2	2	0	1	5	10	25	10	7	5	3	5	2	1	0	0	1	5	3	1	0	5	4	3	8	25	12	36	2	4	0	4	2	0	0	2	1	17	0	4	23	14	5	1	13	2	0	2	2	0	1	0	0	0	0	1	0	1	11	0	10	9	7	3	1	50	1	0	0	4	1	9	4	8	1	11	11	1	5	5	3	3	3	2	14	7	7	5	10	4	0	14	0	0	25	2	0	6	61	0	7	1	2	9	0	14	10	1	14	6	10	10	4	1	3	2	2	6	8	12	0	11	2	0	48	11	10	7	2	3	3	0	4	4	135	2	8	7	0	2	0	5	1	4	8	3	43	0	2	1	10	1	2	4	4	2	3	2	9	0	8	0	1	0	12	8	4	3	13	0	6	3	4	1	1	3	1	7	5	2	3	1	6	0	5	0	2	13	0	5	0	7	0	0	3	3	1	0	1	3	0	0	1	3	4	4	5	4	1	0	1	6	0	2	1	0	5	0	1	4	0	0	0	0	1	1	0	0	5	15	0	3	0	3	11	0	1	12	5	3	14	1	1	0	0	0	0	0	1	0	2	1	2	2	3	0	0	1	2	3	0	9	0	0	0	0	5	2	6	7	1	0	0	1	1	0	0	1	0	4	3	3	0	5	3	0	2	2	1
NewsBusters	3	2	2	0	0	2	0	1	0	2	1	1	1	0	1	12	3	1	2	5	0	9	0	1	2	0	0	0	0	2	0	0	5	1	1	16	1	1	1	0	3	2	0	0	0	0	0	1	3	0	2	0	1	0	0	2	2	3	0	1	0	1	1	0	1	0	0	0	0	0	3	1	1	0	0	4	0	4	1	0	1	1	1	1	5	5	2	3	0	0	4	2	0	2	1	0	1	1	0	9	2	2	2	0	2	1	2	0	2	2	3	2	0	0	1	0	0	4	11	0	3	1	0	4	0	1	0	0	11	1	1	5	0	4	0	3	2	0	1	0	0	5	0	0	3	0	1	0	4	0	2	0	2	4	1	4	0	1	3	1	3	1	1	3	5	0	1	2	1	2	1	2	3	0	2	0	0	2	6	0	1	0	0	0	0	1	1	1	2	0	1	0	4	1	2	0	2	8	3	0	1	2	1	6	0	0	0	0	15	0	2	0	6	0	0	0	3	1	3	2	2	0	6	0	0	0	0	3	0	0	0	2	2	0	1	0	5	1	10	0	1	0	0	0	1	2	1	1	4	1	4	0	0	2	0	1	3	1	0	0	0	2	0	1	0	4	3	0	0	0	0	0	0	0	0	0	0	1	1	5	0	0	0	0	0	0	2	0	0	1	1	3	0	0	0	2	1	1	0	0	0	0	1	0	0	1	2	1	0	0	1	2	0	5	7	0	2	0	0	1	0	0	1	0	2	0	0	2	0	0	2	0	0	1	0	3	0	1	2	0	5	0	1	0	3	0	0	2	1	0	1	0	4	0	1	1	0	3	1	0	2	0	1	2	2	0	0	4	2	0	5	0	14	3	0	1	4	3	1	1	0	2	0	0	5	5	0	1	3	0	2	0	1	0	1	2	0	0	0	1	4	1	0	0	7	2	3	2	0	3	3	0	2	8	7	2	1	10	4	0	1	2	4	2	1	1	0	0	0	2	0	4	0	8	6	1	35	2	3	7	2	1	0	0	0	1	0	0	0	1	0	0	0	4	2	1	3	3	0	1	2	25	0	0	0	2	1	0	0	0	0	0	1	1	2	0	3	1	2	0	0	2	0	6	12	3	2	0	8	0	0	3	0	0	0	3	0	0	1	2	4	0	0	0	0	0	5	0	0	1
PaulStamatiou.com - Technology, Design and Photography	3	8	40	16	1	7	11	32	22	6	2	36	27	7	13	19	22	32	53	65	3	18	2	14	102	21	66	8	75	0	13	8	41	34	17	9	25	65	57	11	3	24	12	4	23	3	69	4	56	45	109	25	38	9	38	21	68	9	6	64	11	3	9	44	9	5	0	10	1	31	13	56	9	6	47	38	5	8	26	52	25	0	14	57	21	3	14	22	13	11	21	19	5	16	4	10	26	42	6	0	9	96	17	3	8	26	26	7	6	32	43	5	22	9	91	26	17	64	8	2	116	12	9	76	26	39	8	11	144	63	29	91	52	20	16	3	64	21	79	13	47	4	42	20	82	54	13	6	14	6	19	2	24	22	31	48	4	9	2	4	5	36	5	117	27	3	7	28	51	42	19	53	18	6	4	16	7	3	11	14	21	8	13	11	24	21	7	17	35	24	11	8	0	8	5	3	41	13	1	9	9	45	4	0	8	2	2	25	2	13	5	11	9	2	39	21	21	21	55	30	31	4	44	23	5	18	20	23	16	2	14	18	15	21	4	0	6	12	13	22	8	4	4	22	16	52	37	18	45	3	17	83	33	20	43	25	5	2	56	14	5	56	24	24	12	8	4	37	13	3	22	4	8	22	7	50	8	5	8	31	2	8	18	12	27	8	47	3	9	42	14	2	1	38	22	10	17	6	15	9	14	4	37	2	20	27	42	25	2	11	2	1	6	0	3	10	33	15	6	58	40	8	4	22	0	11	47	15	18	2	13	20	49	5	17	17	9	6	19	17	20	18	37	16	1	14	6	5	15	2	9	6	0	9	18	2	16	35	40	1	27	5	26	2	11	44	5	38	36	3	4	2	24	11	14	9	16	9	7	17	2	15	5	10	0	41	3	7	2	5	4	6	12	9	9	20	4	9	7	28	25	1	4	12	0	26	0	0	10	3	20	1	7	3	11	12	3	18	0	4	5	0	0	0	11	30	3	18	2	15	4	6	12	0	2	5	0	7	76	0	2	1	20	28	2	11	5	76	40	4	7	0	8	3	9	8	0	1	14	26	7	6	3	3	9	4	7	46	19	24	24	7	8	9	11	4	3	19	10	18	5	1	4	0	0	0	9	6	3	10	9	2	25	0	3	6	4	0	12	3	37	4	4	0	38	4	0	7	8	1
